timestamp,cycle,direction,sweep_channel,cmd_thumb_rot,cmd_thumb_flex,cmd_index,cmd_middle,cmd_ring,cmd_pinky,rb_thumb_rot,rb_thumb_flex,rb_index,rb_middle,rb_ring,rb_pinky
1774771504.6611612,0,forward,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771505.0824413,0,forward,0,45.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
1774771505.494329,0,forward,0,90.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0
1774771506.5306332,0,reverse,0,90.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
1774771506.9370217,0,reverse,0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
1774771507.3467565,0,reverse,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771508.3774624,1,forward,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771508.786604,1,forward,0,45.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
1774771509.1933157,1,forward,0,90.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0
1774771510.2011151,1,reverse,0,90.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
1774771510.6103237,1,reverse,0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
1774771511.0171425,1,reverse,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771512.050703,0,forward,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771512.4574258,0,forward,1,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771512.865042,0,forward,1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
1774771513.8970277,0,reverse,1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
1774771514.2984033,0,reverse,1,0.0,45.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
1774771514.7132056,0,reverse,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771515.746243,1,forward,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771516.1530068,1,forward,1,0.0,45.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
1774771516.562348,1,forward,1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
1774771517.5928833,1,reverse,1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
1774771518.0021636,1,reverse,1,0.0,45.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
1774771518.4091744,1,reverse,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771519.4420655,0,forward,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771519.8489845,0,forward,2,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
1774771520.2571945,0,forward,2,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0
1774771521.2891681,0,reverse,2,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
1774771521.6987185,0,reverse,2,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
1774771522.1053562,0,reverse,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
1774771523.1383455,1,forward,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771523.545045,1,forward,2,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
1774771523.9545336,1,forward,2,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0
1774771524.9849794,1,reverse,2,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0
1774771525.394132,1,reverse,2,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
1774771525.8010173,1,reverse,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
1774771526.8340743,0,forward,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771527.2411728,0,forward,3,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
1774771527.6503174,0,forward,3,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0
1774771528.6809568,0,reverse,3,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
1774771529.0899599,0,reverse,3,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
1774771529.4970114,0,reverse,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
1774771530.530292,1,forward,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771530.9368298,1,forward,3,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771531.3462307,1,forward,3,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
1774771532.3768406,1,reverse,3,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
1774771532.7863352,1,reverse,3,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
1774771533.192922,1,reverse,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
1774771534.226586,0,forward,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771534.6326973,0,forward,4,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
1774771535.0418546,0,forward,4,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
1774771536.072845,0,reverse,4,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
1774771536.481938,0,reverse,4,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
1774771536.8888063,0,reverse,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
1774771537.9219637,1,forward,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771538.328989,1,forward,4,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
1774771538.738054,1,forward,4,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
1774771539.7687976,1,reverse,4,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
1774771540.1780515,1,reverse,4,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
1774771540.5847034,1,reverse,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
1774771541.618044,0,forward,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771542.024862,0,forward,5,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,36.0
1774771542.4339888,0,forward,5,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,77.0
1774771543.4645865,0,reverse,5,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,46.0
1774771543.8743408,0,reverse,5,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0
1774771544.2809527,0,reverse,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1774771545.3138194,1,forward,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774771545.7207236,1,forward,5,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,35.0
